study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	marker_decision_score	marker_base_score	negative_marker_penalty	confound_marker_penalty	marker_penalty	marker_discriminative_score	marker_gate_score	key_marker_bonus	marker_any_fraction	marker_mean_positive_fraction	key_marker_any_fraction	key_marker_two_fraction	key_marker_max_fraction	key_marker_enrichment	negative_marker_any_fraction	negative_marker_mean_positive_fraction	confound_marker_any_fraction	confound_marker_mean_positive_fraction	available_negative_markers	available_confound_markers	available_policy_required_markers	policy_required_any_fraction	policy_required_mean_positive_fraction	ref_fraction	raw_fraction	screfmapping_fraction	total_score
vaccination_study_10	T_NK_lineage	15	CD8 Naive / T Central Memory	6	487	0.34516217297046997	0.34516217297046997	0.23408624229979466	0.5	0.0	0.5	0.0	0.0	0.0	0.18480492813141683	0.06844626967830253	0.11704312114989733	0.11704312114989733	0.11704312114989733	0.4619899016686775	1.0	0.9219712525667351	0.0	0.0	NKG7;GNLY;GZMB;PRF1			0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	T_NK_lineage	15	Treg	7	487	0.5682052577297889	0.5682052577297889	0.42659137577002054	0.5	0.0	0.5	0.0	0.0	0.0	0.35728952772073924	0.0811088295687885	0.17659137577002054	0.07597535934291581	0.17453798767967146	2.0628433004822044	1.0	0.7335728952772074	0.0	0.0	NKG7;GNLY;GZMB;CD8A			0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	T_NK_lineage	15	CD4 Naive / T Central Memory	8	487	0.23377744101366	0.23377744101366	0.1523100616016427	0.5	0.049743326488706364	0.5497433264887064	0.0	0.0	0.0	0.21971252566735114	0.11601642710472279	0.21971252566735114	0.0	0.11601642710472279	0.32650360832014963	1.0	0.7724845995893224	0.13141683778234087	0.06878850102669404	NKG7;GNLY;GZMB;PRF1;FOXP3	CD8A;CD8B		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	T_NK_lineage	15	gdT Cell	9	487	0.5000105238786807	0.5000105238786807	0.0	0.0382340862422998	0.4481519507186858	0.4863860369609856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.07802874743326489	0.03901437371663244	1.0	0.9876796714579055	MS4A1;LST1	NKG7;GNLY		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	T_NK_lineage	16	CD8 Cytotoxic / T Effector Memory	1	452	0.8342804824145987	0.8960176991150443	1.0	0.023893805309734513	0.07964601769911504	0.10353982300884956	0.8964601769911504	0.8964601769911504	0.0	0.9933628318584071	0.48500491642084564	0.8960176991150443	0.5641592920353983	0.7743362831858407	1.2092436889784055	0.03982300884955752	0.03982300884955752	0.21017699115044247	0.11061946902654868	MS4A1	KLRD1;FCGR3A		0.0	0.0	0.0	0.0	0.0	0.8964601769911504
vaccination_study_10	T_NK_lineage	16	CD4 T Effector Memory	2	452	0.895003262402391	0.9734513274336283	1.0	0.002654867256637168	0.2936117256637168	0.29626659292035395	0.703733407079646	0.703733407079646	0.0	0.9977876106194691	0.48377581120943963	0.9734513274336283	0.6814159292035398	0.9579646017699115	1.539346569459484	0.004424778761061947	0.004424778761061947	0.8185840707964602	0.32024336283185845	FOXP3	NKG7;GNLY;GZMB;PRF1		0.0	0.0	0.0	0.0	0.0	0.703733407079646
vaccination_study_10	T_NK_lineage	16	CD8 Naive / T Central Memory	3	452	0.9232704005388226	0.9232704005388226	1.0	0.3815154867256637	0.0	0.3815154867256637	0.6184845132743363	0.6184845132743363	0.0	0.9513274336283186	0.5877581120943953	0.5663716814159292	0.5663716814159292	0.5663716814159292	2.0959646930255746	0.8185840707964602	0.32024336283185845	0.0	0.0	NKG7;GNLY;GZMB;PRF1			0.0	0.0	0.0	0.0	0.0	0.6184845132743363
vaccination_study_10	T_NK_lineage	16	NK Cell	4	452	0.6722758940034939	0.827433628318584	0.8952451695951875	0.10528761061946902	0.35376106194690266	0.45904867256637166	0.43619649702881585	0.43619649702881585	0.0	0.8584070796460177	0.23534292035398233	0.827433628318584	0.3075221238938053	0.7743362831858407	1.271246165106414	0.21238938053097345	0.11172566371681417	0.8738938053097345	0.6106194690265487	MS4A1;LST1	CD8A;CD8B		0.0	0.0	0.0	0.0	0.0	0.43619649702881585
vaccination_study_10	T_NK_lineage	16	NKT Cell	5	452	0.7267895855696576	0.7809734513274337	0.8496903665057358	0.10528761061946902	0.35376106194690266	0.45904867256637166	0.39064169393936415	0.39064169393936415	0.0	0.834070796460177	0.30254424778761063	0.7809734513274337	0.004424778761061947	0.7743362831858407	1.2748676607132083	0.21238938053097345	0.11172566371681417	0.8738938053097345	0.6106194690265487	MS4A1;LST1	CD8A;CD8B		0.0	0.0	0.0	0.0	0.0	0.39064169393936415
vaccination_study_10	T_NK_lineage	16	Treg	6	452	0.24352781461135314	0.24352781461135314	0.022123893805309734	0.43138274336283183	0.0	0.43138274336283183	0.0	0.0	0.0	0.2721238938053097	0.04793510324483776	0.022123893805309734	0.0022123893805309734	0.017699115044247787	0.35514266856234816	0.8960176991150443	0.4131637168141593	0.0	0.0	NKG7;GNLY;GZMB;CD8A			0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	T_NK_lineage	16	CD4 Naive / T Central Memory	7	452	0.3921091957651912	0.6902654867256637	0.5371128318584071	0.3676194690265487	0.35376106194690266	0.6	0.0	0.0	0.0	0.6902654867256637	0.45464601769911506	0.6902654867256637	0.0	0.45464601769911506	0.9953275622814299	0.8185840707964602	0.2570796460176991	0.8738938053097345	0.6106194690265487	NKG7;GNLY;GZMB;PRF1;FOXP3	CD8A;CD8B		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	T_NK_lineage	16	gdT Cell	8	452	0.5000105238786807	0.5000105238786807	0.0	0.10528761061946902	0.31675884955752215	0.42204646017699116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.21238938053097345	0.11172566371681417	0.8053097345132744	0.5011061946902655	MS4A1;LST1	NKG7;GNLY		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	T_NK_lineage	16	MAIT Cell	9	452	0.5523352486792532	0.5523352486792532	0.13716814159292035	0.10528761061946902	0.2959070796460177	0.4011946902654867	0.0	0.0	0.0	0.6128318584070797	0.2271386430678466	0.13716814159292035	0.0022123893805309734	0.13716814159292035	0.27441679497575777	0.21238938053097345	0.11172566371681417	0.8053097345132744	0.362094395280236	MS4A1;LST1	NKG7;GNLY;GZMB		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	T_NK_lineage	17	CD8 Naive / T Central Memory	1	382	0.9406242764833407	0.9406242764833407	1.0	0.07032722513089006	0.0	0.07032722513089006	0.9296727748691099	0.9296727748691099	0.0	1.0	0.7076788830715532	0.5261780104712042	0.5261780104712042	0.5261780104712042	1.9498011705980427	0.15968586387434555	0.04384816753926702	0.0	0.0	NKG7;GNLY;GZMB;PRF1			0.0	0.0	0.0	0.0	0.0	0.9296727748691099
vaccination_study_10	T_NK_lineage	17	CD8 Cytotoxic / T Effector Memory	2	382	0.656647934162615	0.656647934162615	0.5916230366492147	0.009424083769633508	0.0058900523560209425	0.015314136125654451	0.5763089005235602	0.5763089005235602	0.0	0.9397905759162304	0.17946480511925536	0.5916230366492147	0.06282722513089005	0.5261780104712042	0.8029742254733914	0.015706806282722512	0.015706806282722512	0.015706806282722512	0.007853403141361256	MS4A1	KLRD1;FCGR3A		0.0	0.0	0.0	0.0	0.0	0.5763089005235602
vaccination_study_10	T_NK_lineage	17	CD4 Naive / T Central Memory	3	382	0.7974890025467787	0.9397905759162304	0.8393979057591623	0.06950785340314136	0.37578534031413613	0.4452931937172775	0.3941047120418848	0.3941047120418848	0.0	0.9397905759162304	0.7853403141361257	0.9397905759162304	0.0	0.7853403141361257	1.349991905248543	0.16230366492146597	0.0356020942408377	0.9214659685863874	0.662303664921466	NKG7;GNLY;GZMB;PRF1;FOXP3	CD8A;CD8B		0.0	0.0	0.0	0.0	0.0	0.3941047120418848
vaccination_study_10	T_NK_lineage	17	CD4 T Effector Memory	4	382	0.35068720927785146	0.35068720927785146	0.10732984293193717	0.0015706806282722516	0.05448298429319372	0.05605366492146597	0.051276178010471206	0.051276178010471206	0.0	0.8298429319371727	0.17757417102966844	0.10732984293193717	0.007853403141361256	0.0968586387434555	0.18365046258447065	0.002617801047120419	0.002617801047120419	0.15968586387434555	0.04384816753926702	FOXP3	NKG7;GNLY;GZMB;PRF1		0.0	0.0	0.0	0.0	0.0	0.051276178010471206
vaccination_study_10	T_NK_lineage	17	NK Cell	5	382	0.15458525394119255	0.15458525394119255	0.13612565445026178	0.04617801047120419	0.37578534031413613	0.4219633507853403	0.0	0.0	0.0	0.2356020942408377	0.0350130890052356	0.13612565445026178	0.010471204188481676	0.07068062827225131	0.22182256785715224	0.09424083769633508	0.04712041884816754	0.9214659685863874	0.662303664921466	MS4A1;LST1	CD8A;CD8B		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	T_NK_lineage	17	Treg	6	382	0.5483151270232156	0.5483151270232156	0.005235602094240838	0.26267015706806285	0.0	0.26267015706806285	0.0	0.0	0.0	0.031413612565445025	0.005235602094240839	0.005235602094240838	0.0	0.002617801047120419	0.1684357574363679	0.5942408376963351	0.16753926701570682	0.0	0.0	NKG7;GNLY;GZMB;CD8A			0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	T_NK_lineage	17	gdT Cell	7	382	0.5000105238786807	0.5000105238786807	0.0	0.04617801047120419	0.04849476439790575	0.09467277486910994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.09424083769633508	0.04712041884816754	0.12827225130890052	0.06675392670157068	MS4A1;LST1	NKG7;GNLY		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	T_NK_lineage	17	MAIT Cell	8	382	0.6246763907305677	0.6246763907305677	0.02356020942408377	0.04617801047120419	0.048821989528795816	0.095	0.0	0.0	0.0	0.8036649214659686	0.27399650959860383	0.02356020942408377	0.0	0.020942408376963352	0.06257798059546414	0.09424083769633508	0.04712041884816754	0.1387434554973822	0.047993019197207686	MS4A1;LST1	NKG7;GNLY;GZMB		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	T_NK_lineage	17	NKT Cell	9	382	0.197175390962093	0.197175390962093	0.06806282722513089	0.04617801047120419	0.37578534031413613	0.4219633507853403	0.0	0.0	0.0	0.14136125654450263	0.03795811518324607	0.06806282722513089	0.0	0.06282722513089005	0.12581936064496868	0.09424083769633508	0.04712041884816754	0.9214659685863874	0.662303664921466	MS4A1;LST1	CD8A;CD8B		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_10	T_NK_lineage	18	NK Cell	1	355	0.8248826587527099	0.9887323943661972	1.0	0.05583098591549296	0.022183098591549294	0.07801408450704225	0.9219859154929577	0.9219859154929577	0.0	0.9915492957746479	0.5285211267605634	0.9887323943661972	0.8676056338028169	0.9802816901408451	1.516101913479129	0.11267605633802817	0.059154929577464786	0.059154929577464786	0.029577464788732393	MS4A1;LST1	CD8A;CD8B		0.0	0.0	0.0	0.0	0.0	0.9219859154929577
vaccination_study_10	T_NK_lineage	18	NKT Cell	2	355	0.8829113257982362	0.9802816901408451	1.0	0.05583098591549296	0.022183098591549294	0.07801408450704225	0.9219859154929577	0.9219859154929577	0.0	0.9887323943661972	0.6366197183098592	0.9802816901408451	0.18028169014084508	0.9802816901408451	1.5961067968062082	0.11267605633802817	0.059154929577464786	0.059154929577464786	0.029577464788732393	MS4A1;LST1	CD8A;CD8B		0.0	0.0	0.0	0.0	0.0	0.9219859154929577
vaccination_study_10	T_NK_lineage	18	CD8 Cytotoxic / T Effector Memory	3	355	0.8191366209930332	0.9859154929577465	1.0	0.013521126760563381	0.26007042253521123	0.2735915492957746	0.7264084507042254	0.7264084507042254	0.0	1.0	0.5568075117370891	0.9859154929577465	0.7549295774647887	0.9802816901408451	1.3292284751073637	0.022535211267605635	0.022535211267605635	0.676056338028169	0.38169014084507047	MS4A1	KLRD1;FCGR3A		0.0	0.0	0.0	0.0	0.0	0.7264084507042254
vaccination_study_10	T_NK_lineage	18	MAIT Cell	4	355	0.9238492138662625	0.9238492138662625	1.0	0.05583098591549296	0.40225352112676055	0.4580845070422535	0.5419154929577465	0.5419154929577465	0.0	0.9661971830985916	0.5492957746478874	0.8619718309859155	0.0	0.8619718309859155	1.625920614192284	0.11267605633802817	0.059154929577464786	0.9859154929577465	0.7098591549295774	MS4A1;LST1	NKG7;GNLY;GZMB		0.0	0.0	0.0	0.0	0.0	0.5419154929577465
vaccination_study_10	T_NK_lineage	18	CD4 T Effector Memory	5	355	0.9291322009639873	0.9971830985915493	1.0	0.10985915492957746	0.39580985915492956	0.505669014084507	0.49433098591549296	0.49433098591549296	0.0	1.0	0.6544600938967137	0.9971830985915493	0.5295774647887324	0.9915492957746479	1.5764927092836825	0.18309859154929578	0.18309859154929578	0.9859154929577465	0.6669014084507041	FOXP3	NKG7;GNLY;GZMB;PRF1		0.0	0.0	0.0	0.0	0.0	0.49433098591549296
