study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	marker_decision_score	marker_base_score	negative_marker_penalty	confound_marker_penalty	marker_penalty	marker_discriminative_score	marker_gate_score	key_marker_bonus	marker_any_fraction	marker_mean_positive_fraction	key_marker_any_fraction	key_marker_two_fraction	key_marker_max_fraction	key_marker_enrichment	negative_marker_any_fraction	negative_marker_mean_positive_fraction	confound_marker_any_fraction	confound_marker_mean_positive_fraction	available_negative_markers	available_confound_markers	ref_fraction	raw_fraction	screfmapping_fraction	total_score
vaccination_study_06	T_NK_lineage	20	Treg	8	967	0.39732492728887653	0.42735263702171666	0.012409513960703205	0.5	0.10811789038262667	0.6	0.0	0.0	0.0	1.0	0.42735263702171666	0.012409513960703205	0.001034126163391934	0.007238883143743537	0.20790442496029352	1.0	0.8950361944157187	0.281282316442606	0.15822130299896586	NKG7;GNLY;GZMB;CD8A	CCR7;TCF7	0.0031023784901758012	0.0031023784901758012	0.0	0.008066184074457083
vaccination_study_06	T_NK_lineage	21	CD8 Naive / T Central Memory	1	878	0.9853968198679879	0.9977220956719818	1.0	0.20312072892938496	0.007175398633257403	0.21029612756264235	0.7897038724373576	0.7897038724373576	0.0	1.0	0.9172361427486712	0.9977220956719818	0.9738041002277904	0.979498861047836	1.4520464934670039	0.45671981776765375	0.13439635535307515	0.015945330296127564	0.015945330296127564	NKG7;GNLY;GZMB;PRF1	CD4	0.9464692482915718	0.0	0.0	2.3040546697038726
vaccination_study_06	T_NK_lineage	21	CD4 Naive / T Central Memory	2	878	0.84933558578171	0.9965831435079726	1.0	0.20312072892938496	0.4217255125284738	0.6	0.4	0.4	0.0	1.0	0.7783599088838268	0.9965831435079726	0.9066059225512528	0.979498861047836	1.5929968943649386	0.45671981776765375	0.13439635535307515	0.969248291571754	0.8730068337129842	NKG7;GNLY;GZMB;PRF1	CD8A;CD8B	0.31548974943052394	0.0	0.4988610478359909	1.5034168564920274
vaccination_study_06	T_NK_lineage	21	CD8 Cytotoxic / T Effector Memory	3	878	0.5987826329263832	0.8826879271070615	0.964898541943775	0.5	0.01879271070615034	0.5187927107061503	0.4461058312376247	0.4461058312376247	0.0	1.0	0.41965210188444824	0.8826879271070615	0.3439635535307517	0.7984054669703873	1.328842459346854	0.9988610478359908	0.6850797266514806	0.05011389521640091	0.025056947608200455	CCR7;TCF7;LEF1;MS4A1	KLRD1;FCGR3A	0.010250569476082005	0.0	0.0	0.4625067423993559
vaccination_study_06	T_NK_lineage	21	Treg	4	878	0.39732492728887653	0.39732492728887653	0.04100227790432802	0.40732346241457856	0.44162870159453294	0.6	0.0	0.0	0.0	0.9977220956719818	0.26153189066059224	0.04100227790432802	0.0	0.03530751708428246	0.4731739955609311	0.8849658314350797	0.3228929384965831	0.9965831435079726	0.9510250569476082	NKG7;GNLY;GZMB;CD8A	CCR7;TCF7	0.1492027334851936	0.1492027334851936	0.002277904328018223	0.3906605922551253
vaccination_study_06	T_NK_lineage	21	CD4 T Effector Memory	5	878	0.3497666277712952	0.45241710959250814	0.25968109339407747	0.5	0.15717539863325738	0.6	0.0	0.0	0.0	0.9988610478359908	0.45241710959250814	0.25968109339407747	0.009111617312072893	0.24145785876993167	0.44317840988699064	0.9988610478359908	0.9054669703872437	0.45671981776765375	0.13439635535307515	CCR7;TCF7;LEF1	NKG7;GNLY;GZMB;PRF1	0.03644646924829157	0.0	0.0056947608200455585	0.06514806378132118
vaccination_study_06	T_NK_lineage	21	ydT Cell	6	878	0.4252163917866908	0.4252163917866908	0.025056947608200455	0.02356492027334852	0.15956719817767653	0.18313211845102506	0.0	0.0	0.0	0.9988610478359908	0.33124525436598323	0.025056947608200455	0.0011389521640091116	0.010250569476082005	0.20666336734188	0.04783599088838269	0.0244874715261959	0.4145785876993166	0.23462414578587698	MS4A1;LST1	NKG7;GNLY	0.002277904328018223	0.002277904328018223	0.0	0.00592255125284738
vaccination_study_06	T_NK_lineage	21	MAIT Cell	7	878	0.3418293596196381	0.5199316628701595	0.08428246013667426	0.02356492027334852	0.15313211845102506	0.1766970387243736	0.0	0.0	0.0	0.9988610478359908	0.5199316628701595	0.04214123006833713	0.04214123006833713	0.04214123006833713	0.2098862734284813	0.04783599088838269	0.0244874715261959	0.428246013667426	0.16438876233864844	MS4A1;LST1	NKG7;GNLY;GZMB	0.0	0.0	0.0	0.0
vaccination_study_06	T_NK_lineage	21	NK Cell	8	878	0.17088420209338373	0.44874715261959	0.44874715261959	0.5	0.4217255125284738	0.6	0.0	0.0	0.0	0.5022779043280182	0.07759111617312073	0.44874715261959	0.0683371298405467	0.28018223234624146	0.6885943035488242	0.9977220956719818	0.5649202733485194	0.969248291571754	0.8730068337129842	CD3D;CD3E;TRAC;MS4A1;LST1	CD8A;CD8B	0.0	0.0	0.0	0.0
vaccination_study_06	T_NK_lineage	22	NK Cell	1	859	0.9298664205228234	1.0	1.0	0.41421187427240974	0.04479045401629802	0.45900232828870774	0.5409976717112923	0.5409976717112923	0.0	1.0	0.8327997671711292	1.0	0.9988358556461001	1.0	1.5160426448707145	0.9010477299185099	0.3264260768335273	0.11641443538998836	0.06577415599534342	CD3D;CD3E;TRAC;MS4A1;LST1	CD8A;CD8B	0.9965075669383003	0.8882421420256111	0.0	3.023651920838184
vaccination_study_06	T_NK_lineage	22	CD8 Cytotoxic / T Effector Memory	2	859	0.8718020167540361	1.0	1.0	0.09426658905704308	0.4165599534342258	0.5108265424912689	0.4891734575087311	0.4891734575087311	0.0	1.0	0.6726637739443327	1.0	0.9837019790454016	1.0	1.5034715304034336	0.21420256111757857	0.05849825378346915	0.9941792782305006	0.7887077997671711	CCR7;TCF7;LEF1;MS4A1	KLRD1;FCGR3A	0.42840512223515714	0.0	0.0	1.1746216530849827
vaccination_study_06	T_NK_lineage	22	ydT Cell	3	859	0.9258694857103049	0.9258694857103049	1.0	0.000570430733410943	0.44860302677532016	0.4491734575087311	0.5508265424912688	0.5508265424912688	0.0	0.9615832363213038	0.38571982925882803	0.8486612339930152	0.3224679860302678	0.7532013969732246	5.061873155819785	0.0011641443538998836	0.0005820721769499418	1.0	0.9906868451688009	MS4A1;LST1	NKG7;GNLY	0.18277066356228172	0.18277066356228172	0.0	1.0260302677532014
vaccination_study_06	T_NK_lineage	22	MAIT Cell	4	859	0.3418293596196381	0.4912689173457509	1.0	0.000570430733410943	0.4370779976717113	0.43764842840512225	0.5623515715948777	0.5623515715948777	0.0	0.930151338766007	0.29705083430345364	0.4912689173457509	0.4912689173457509	0.4912689173457509	2.017778731137333	0.0011641443538998836	0.0005820721769499418	1.0	0.9138533178114087	MS4A1;LST1	NKG7;GNLY;GZMB	0.0	0.0	0.0	0.5623515715948777
vaccination_study_06	T_NK_lineage	22	CD4 T Effector Memory	5	859	0.7007784879569481	0.9988358556461001	1.0	0.09847109041521149	0.4354190919674039	0.5338901823826154	0.46610981761738457	0.46610981761738457	0.0	1.0	0.41417669124304746	0.9988358556461001	0.024447031431897557	0.9988358556461001	1.6578628657845653	0.21420256111757857	0.07760962359332557	1.0	0.9027939464493597	CCR7;TCF7;LEF1	NKG7;GNLY;GZMB;PRF1	0.0	0.0	0.0	0.46610981761738457
vaccination_study_06	T_NK_lineage	22	CD4 Naive / T Central Memory	6	859	0.07647294449572441	0.2048894062863795	0.2048894062863795	0.5	0.04479045401629802	0.544790454016298	0.0	0.0	0.0	0.919674039580908	0.16554132712456343	0.2048894062863795	0.012805587892898719	0.18160651920838183	0.34007936557842505	1.0	0.9027939464493597	0.11641443538998836	0.06577415599534342	NKG7;GNLY;GZMB;PRF1	CD8A;CD8B	0.0	0.0	0.0	0.0
vaccination_study_06	T_NK_lineage	22	CD8 Naive / T Central Memory	7	859	0.12243334088019645	0.28870779976717115	0.28870779976717115	0.5	0.0	0.5	0.0	0.0	0.0	0.9150174621653085	0.18716854223257015	0.28870779976717115	0.033760186263096625	0.18160651920838183	0.430413915786906	1.0	0.9027939464493597	0.0	0.0	NKG7;GNLY;GZMB;PRF1	CD4	0.0	0.0	0.0	0.0
vaccination_study_06	T_NK_lineage	22	Treg	8	859	0.39732492728887653	0.39732492728887653	0.017462165308498253	0.5	0.07779394644935972	0.5777939464493598	0.0	0.0	0.0	0.9778812572759022	0.31548311990686845	0.017462165308498253	0.0	0.013969732246798603	0.25478043373184733	1.0	0.7127473806752037	0.2048894062863795	0.10884749708963912	NKG7;GNLY;GZMB;CD8A	CCR7;TCF7	0.0	0.0	0.0	0.0
vaccination_study_06	T_NK_lineage	23	CD4 Naive / T Central Memory	1	787	0.6470506278409586	0.7623888182973316	0.9501277080029986	0.2205908513341804	0.04269377382465057	0.263284625158831	0.6868430828441676	0.6868430828441676	0.0	0.96569250317662	0.4974587039390088	0.7623888182973316	0.44726810673443457	0.6188055908513341	1.2223659781365181	0.48284625158831	0.1686785260482846	0.10927573062261753	0.06607369758576874	NKG7;GNLY;GZMB;PRF1	CD8A;CD8B	0.7941550190597204	0.0	0.6493011435832274	2.7366524856395933
vaccination_study_06	T_NK_lineage	23	CD8 Naive / T Central Memory	2	787	0.5689405945767081	0.7636594663278272	0.9181488886342839	0.2205908513341804	0.042884371029224905	0.2634752223634053	0.6546736662708785	0.6546736662708785	0.0	0.9529860228716646	0.4759282789778343	0.7636594663278272	0.44472681067344344	0.6188055908513341	1.1147810691495879	0.48284625158831	0.1686785260482846	0.09529860228716645	0.09529860228716645	NKG7;GNLY;GZMB;PRF1	CD4	0.025412960609911054	0.0	0.0	0.6953344032467362
vaccination_study_06	T_NK_lineage	23	Treg	3	787	0.39732492728887653	0.39732492728887653	0.09021601016518424	0.22016518424396442	0.31534307496823377	0.5355082592121982	0.0	0.0	0.0	0.820838627700127	0.21188055908513342	0.09021601016518424	0.0025412960609911056	0.07623888182973317	0.9297547462093082	0.4841168996188056	0.16454891994917406	0.7547649301143583	0.5927573062261753	NKG7;GNLY;GZMB;CD8A	CCR7;TCF7	0.10673443456162643	0.10673443456162643	0.054637865311308764	0.34307496823379924
vaccination_study_06	T_NK_lineage	23	CD4 T Effector Memory	4	787	0.3973075114509135	0.3973075114509135	0.3951715374841169	0.41235916984328674	0.1701556543837357	0.5825148242270224	0.0	0.0	0.0	0.9491740787801779	0.3700409431032049	0.3951715374841169	0.03430749682337993	0.312579415501906	0.6658356188555173	0.7852604828462516	0.518000847098687	0.48284625158831	0.1686785260482846	CCR7;TCF7;LEF1	NKG7;GNLY;GZMB;PRF1	0.1156289707750953	0.0	0.03176620076238882	0.22312579415501907
vaccination_study_06	T_NK_lineage	23	CD8 Cytotoxic / T Effector Memory	5	787	0.3544645500618262	0.4675984752223634	0.4675984752223634	0.39109911054637864	0.027827191867852603	0.41892630241423123	0.048672172808132186	0.048672172808132186	0.0	0.9504447268106735	0.24431096222709944	0.4675984752223634	0.12960609911054638	0.3341804320203304	0.7109462479811021	0.7928843710292249	0.4081956797966963	0.07369758576874205	0.038119440914866576	CCR7;TCF7;LEF1;MS4A1	KLRD1;FCGR3A	0.10038119440914867	0.0	0.0	0.20928208386277006
vaccination_study_06	T_NK_lineage	23	NK Cell	6	787	0.17088420209338373	0.4599745870393901	0.4599745870393901	0.3964828462515883	0.04269377382465057	0.43917662007623887	0.020797966963151227	0.020797966963151227	0.0	0.5196950444726811	0.10355781448538753	0.4599745870393901	0.13850063532401524	0.3341804320203304	0.7054470455021968	0.8259212198221093	0.3756035578144854	0.10927573062261753	0.06607369758576874	CD3D;CD3E;TRAC;MS4A1;LST1	CD8A;CD8B	0.04701397712833545	0.04701397712833545	0.0	0.1430343074968234
vaccination_study_06	T_NK_lineage	23	MAIT Cell	7	787	0.3418293596196381	0.3763235916984329	0.1905972045743329	0.04524777636594663	0.1695044472681067	0.21475222363405333	0.0	0.0	0.0	0.9021601016518425	0.3763235916984329	0.09529860228716645	0.09529860228716645	0.09529860228716645	0.4238628663404287	0.09148665819567979	0.04764930114358323	0.46378653113087676	0.20245658619229137	MS4A1;LST1	NKG7;GNLY;GZMB	0.0	0.0	0.0	0.0
vaccination_study_06	T_NK_lineage	23	ydT Cell	8	787	0.4252163917866908	0.4252163917866908	0.03303684879288437	0.04524777636594663	0.1758259212198221	0.22107369758576872	0.0	0.0	0.0	0.7865311308767471	0.23252858958068615	0.03303684879288437	0.0038119440914866584	0.017789072426937738	0.25370549058413483	0.09148665819567979	0.04764930114358323	0.44599745870393903	0.28017789072426935	MS4A1;LST1	NKG7;GNLY	0.0	0.0	0.0	0.0
vaccination_study_06	T_NK_lineage	24	CD8 Cytotoxic / T Effector Memory	1	698	0.9496333966108779	0.995702005730659	1.0	0.2771131805157593	0.33019340974212036	0.6	0.4	0.4	0.0	1.0	0.853868194842407	0.995702005730659	0.9684813753581661	0.9885386819484241	1.4970735977085907	0.6174785100286533	0.19305157593123207	0.8538681948424068	0.49355300859598855	CCR7;TCF7;LEF1;MS4A1	KLRD1;FCGR3A	0.9914040114613181	0.0	0.0	1.986246418338109
vaccination_study_06	T_NK_lineage	24	NK Cell	2	698	0.8528971246451523	0.994269340974212	1.0	0.4843266475644699	0.3437320916905444	0.6	0.4	0.4	0.0	0.997134670487106	0.6946633237822349	0.994269340974212	0.9627507163323782	0.9885386819484241	1.5074407404486276	0.9842406876790831	0.501432664756447	0.8051575931232091	0.6812320916905444	CD3D;CD3E;TRAC;MS4A1;LST1	CD8A;CD8B	0.06160458452722063	0.055873925501432664	0.0	0.5544412607449857
vaccination_study_06	T_NK_lineage	24	CD8 Naive / T Central Memory	3	698	0.6445035615388635	0.8825214899713467	1.0	0.5	0.0064469914040114614	0.5064469914040115	0.4935530085959885	0.4935530085959885	0.0	0.9928366762177651	0.5058898439987265	0.8825214899713467	0.4670487106017192	0.7607449856733525	1.2860516857007451	0.997134670487106	0.863896848137536	0.014326647564469915	0.014326647564469915	NKG7;GNLY;GZMB;PRF1	CD4	0.0	0.0	0.0	0.4935530085959885
vaccination_study_06	T_NK_lineage	24	CD4 T Effector Memory	4	698	0.8357512321705358	0.995702005730659	1.0	0.28109837631327605	0.4287249283667621	0.6	0.4	0.4	0.0	1.0	0.5483922317733206	0.995702005730659	0.1318051575931232	0.9928366762177651	1.6527128769408157	0.6031518624641834	0.2359121298949379	0.997134670487106	0.863896848137536	CCR7;TCF7;LEF1	NKG7;GNLY;GZMB;PRF1	0.004297994269340974	0.0	0.0014326647564469914	0.40859598853868195
vaccination_study_06	T_NK_lineage	24	ydT Cell	5	698	0.4252163917866908	0.4252163917866908	0.6740687679083095	0.03244985673352435	0.4378581661891118	0.4703080229226361	0.20376074498567337	0.20376074498567337	0.0	0.9899713467048711	0.41284622731614135	0.42406876790830944	0.08452722063037249	0.2507163323782235	2.5588683372105203	0.0659025787965616	0.03366762177650429	0.994269340974212	0.930515759312321	MS4A1;LST1	NKG7;GNLY	0.06017191977077364	0.06017191977077364	0.0	0.36020773638968484
vaccination_study_06	T_NK_lineage	24	Treg	6	698	0.39732492728887653	0.39732492728887653	0.014326647564469915	0.5	0.22016475644699138	0.6	0.0	0.0	0.0	0.994269340974212	0.37320916905444124	0.014326647564469915	0.0	0.011461318051575931	0.22569064558793026	0.995702005730659	0.8459885386819486	0.5744985673352435	0.31876790830945556	NKG7;GNLY;GZMB;CD8A	CCR7;TCF7	0.004297994269340974	0.004297994269340974	0.0	0.011174785100286534
vaccination_study_06	T_NK_lineage	24	CD4 Naive / T Central Memory	7	698	0.2227746913042721	0.5773638968481375	0.5773638968481375	0.5	0.3437320916905444	0.6	0.0	0.0	0.0	0.9928366762177651	0.33438395415472777	0.5773638968481375	0.07163323782234957	0.5272206303724928	0.9295495057470733	0.997134670487106	0.863896848137536	0.8051575931232091	0.6812320916905444	NKG7;GNLY;GZMB;PRF1	CD8A;CD8B	0.0014326647564469914	0.0	0.0071633237822349575	0.010888252148997135
vaccination_study_06	T_NK_lineage	24	MAIT Cell	8	698	0.3418293596196381	0.42979942693409745	0.2979942693409742	0.03244985673352435	0.4294412607449857	0.46189111747851	0.0	0.0	0.0	0.995702005730659	0.42979942693409745	0.1489971346704871	0.1489971346704871	0.1489971346704871	0.640017813888509	0.0659025787965616	0.03366762177650429	0.994269340974212	0.8744030563514805	MS4A1;LST1	NKG7;GNLY;GZMB	0.0014326647564469914	0.0	0.0	0.002292263610315186
vaccination_study_06	T_NK_lineage	25	NK Cell	1	596	0.9267664013654017	1.0	1.0	0.3827181208053691	0.06556208053691276	0.44828020134228186	0.5517197986577181	0.5517197986577181	0.0	1.0	0.8856963087248322	1.0	1.0	0.9983221476510067	1.5160426448707145	0.8439597315436241	0.2818791946308724	0.16778523489932887	0.10151006711409397	CD3D;CD3E;TRAC;MS4A1;LST1	CD8A;CD8B	0.8288590604026845	0.6761744966442953	0.0	2.5540687919463085
vaccination_study_06	T_NK_lineage	25	CD8 Cytotoxic / T Effector Memory	2	596	0.9352740382103485	1.0	1.0	0.11943791946308725	0.40268456375838924	0.5221224832214765	0.4778775167785235	0.4778775167785235	0.0	1.0	0.711561928004881	1.0	0.9781879194630873	0.9983221476510067	1.5034715304034336	0.27181208053691275	0.07340604026845639	0.9815436241610739	0.7214765100671141	CCR7;TCF7;LEF1;MS4A1	KLRD1;FCGR3A	0.8875838926174496	0.0	0.0	1.898011744966443
vaccination_study_06	T_NK_lineage	25	ydT Cell	3	596	0.916782772253087	0.916782772253087	1.0	0.008221476510067114	0.44748322147651004	0.45570469798657715	0.5442953020134229	0.5442953020134229	0.0	0.9110738255033557	0.33976510067114085	0.7734899328859061	0.2701342281879195	0.62248322147651	4.618732629499929	0.016778523489932886	0.008389261744966443	1.0	0.9832214765100671	MS4A1;LST1	NKG7;GNLY	0.031879194630872486	0.031879194630872486	0.0	0.6271812080536914
vaccination_study_06	T_NK_lineage	25	MAIT Cell	4	596	0.7695623399919886	0.7695623399919886	1.0	0.008221476510067114	0.44320469798657713	0.45142617449664424	0.5485738255033558	0.5485738255033558	0.0	0.947986577181208	0.3104026845637584	0.6828859060402684	0.6828859060402684	0.6828859060402684	2.7891026072708587	0.016778523489932886	0.008389261744966443	1.0	0.9546979865771812	MS4A1;LST1	NKG7;GNLY;GZMB	0.0016778523489932886	0.0	0.0	0.551258389261745
vaccination_study_06	T_NK_lineage	25	CD4 T Effector Memory	5	596	0.7789756004110138	0.9983221476510067	1.0	0.12101789709172259	0.44295302013422816	0.5639709172259507	0.4360290827740493	0.4360290827740493	0.0	0.9983221476510067	0.43847874720357943	0.9983221476510067	0.0587248322147651	0.9983221476510067	1.6570186675890357	0.2634228187919463	0.09507829977628636	1.0	0.9530201342281879	CCR7;TCF7;LEF1	NKG7;GNLY;GZMB;PRF1	0.0016778523489932886	0.0	0.0	0.43871364653243855
vaccination_study_06	T_NK_lineage	25	Treg	6	596	0.39732492728887653	0.39732492728887653	0.006711409395973154	0.5	0.09463087248322147	0.5946308724832214	0.0	0.0	0.0	0.8942953020134228	0.2242030201342282	0.006711409395973154	0.0016778523489932886	0.0050335570469798654	0.1550402193835363	1.0	0.75251677852349	0.25	0.13087248322147652	NKG7;GNLY;GZMB;CD8A	CCR7;TCF7	0.0016778523489932886	0.0016778523489932886	0.0	0.004362416107382551
vaccination_study_06	T_NK_lineage	25	CD8 Naive / T Central Memory	7	596	0.12243334088019645	0.35067114093959734	0.35067114093959734	0.5	0.0022651006711409396	0.5022651006711409	0.0	0.0	0.0	0.8691275167785235	0.1894108873974646	0.35067114093959734	0.053691275167785234	0.2080536912751678	0.5196981069933355	1.0	0.9530201342281879	0.0050335570469798654	0.0050335570469798654	NKG7;GNLY;GZMB;PRF1	CD4	0.0	0.0	0.0	0.0
vaccination_study_06	T_NK_lineage	25	CD4 Naive / T Central Memory	8	596	0.07647294449572441	0.25	0.25	0.5	0.06556208053691276	0.5655620805369128	0.0	0.0	0.0	0.8640939597315436	0.16208053691275165	0.25	0.016778523489932886	0.2080536912751678	0.41147042368646974	1.0	0.9530201342281879	0.16778523489932887	0.10151006711409397	NKG7;GNLY;GZMB;PRF1	CD8A;CD8B	0.0	0.0	0.0	0.0
vaccination_study_06	T_NK_lineage	26	CD8 Cytotoxic / T Effector Memory	1	429	0.767881711628555	0.958041958041958	1.0	0.10459207459207459	0.29860139860139856	0.40319347319347315	0.5968065268065268	0.5968065268065268	0.0	1.0	0.5463021826658191	0.958041958041958	0.7086247086247086	0.8135198135198135	1.4410133902495834	0.23543123543123542	0.06876456876456877	0.7785547785547785	0.43356643356643354	CCR7;TCF7;LEF1;MS4A1	KLRD1;FCGR3A	0.993006993006993	0.0	0.0	2.185617715617716
vaccination_study_06	T_NK_lineage	26	NK Cell	2	429	0.7505007053414375	0.9790209790209791	1.0	0.36358974358974355	0.23531468531468533	0.5989044289044289	0.40109557109557115	0.40109557109557115	0.0	0.993006993006993	0.4513403263403263	0.9790209790209791	0.8531468531468531	0.8135198135198135	1.4845524563045431	0.7948717948717948	0.27972027972027974	0.5897435897435898	0.3892773892773893	CD3D;CD3E;TRAC;MS4A1;LST1	CD8A;CD8B	0.12121212121212122	0.11188811188811189	0.0	0.706923076923077
vaccination_study_06	T_NK_lineage	26	CD4 T Effector Memory	3	429	0.3920479283860743	0.8554778554778555	0.9610469973073418	0.10578088578088579	0.38688811188811184	0.49266899766899763	0.46837799963834414	0.46837799963834414	0.0	0.9766899766899767	0.3206423206423206	0.8554778554778555	0.013986013986013986	0.8554778554778555	1.4222765673179452	0.22843822843822845	0.08624708624708625	0.9743589743589743	0.6305361305361306	CCR7;TCF7;LEF1	NKG7;GNLY;GZMB;PRF1	0.002331002331002331	0.0	0.027972027972027972	0.5056740369343814
vaccination_study_06	T_NK_lineage	26	ydT Cell	4	429	0.4252163917866908	0.4252163917866908	0.1626166162487646	0.009137529137529138	0.3994755244755244	0.40861305361305356	0.0	0.0	0.0	0.7855477855477856	0.21794871794871795	0.16083916083916083	0.009324009324009324	0.12354312354312354	1.0071098216384151	0.018648018648018648	0.009324009324009324	0.9393939393939394	0.7843822843822843	MS4A1;LST1	NKG7;GNLY	0.07226107226107226	0.07226107226107226	0.0	0.18787878787878787
