study	lineage	cluster	n_cells	chosen_label	cluster_marker_gene_assignment	cluster_marker_raw_winner	cluster_marker_assignment_reason	marker_assignment_score	marker_assignment_base_score	marker_assignment_penalty	negative_marker_penalty	confound_marker_penalty	best_total_score	score_margin	top_celltypist	top_panhuman_fine	top_screfmapping	feedback_flags
vaccination_study_06	T_NK_lineage	16	1460	NK Cell	NK Cell	NKT Cell	conservative_policy_blocks_raw_marker_winner	0.8481036582146709	0.9183468088996024	0.07024315068493149	0.004027397260273973	0.06621575342465752	2.9069349315068496	1.6825068493150686	NK Cell:1169; CD8 Cytotoxic / T Effector Memory:278; gdT Cell:11; CD4 Naive / T Central Memory:2	NK Cell:526; Blood Cell:426; CD8 Cytotoxic / T Effector Memory:220; T Cell:210; CD8 T Cell (ab):49	not_available:1431; CD4 T Effector Memory:26; CD4 Naive / T Central Memory:3	screfmapping_missing_for_scope
vaccination_study_06	T_NK_lineage	18	894	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	NKT Cell	conservative_policy_blocks_raw_marker_winner	0.5815212527964206	1.0	0.4184787472035794	0.012606263982102909	0.4058724832214765	3.077393736017897	2.4958724832214765	CD8 Cytotoxic / T Effector Memory:890; NK Cell:4	CD8 Cytotoxic / T Effector Memory:677; Blood Cell:120; CD8 T Cell (ab):54; NK Cell:39; T Cell:2	not_available:894	screfmapping_missing_for_scope
vaccination_study_06	T_NK_lineage	19	270	CD4 Naive / T Central Memory	Treg	Treg	raw_marker_winner	0.5188703703703704	1.0	0.4811296296296296	0.2786296296296296	0.20249999999999996	2.608685185185185	1.0809259259259256	CD4 Naive / T Central Memory:87; CD8 Cytotoxic / T Effector Memory:86; Treg:79; NK Cell:10; MAIT Cell:3	Blood Cell:65; CD4 T Cell (ab):61; Treg:55; T Cell:24; NK Cell:22	CD4 Naive / T Central Memory:125; not_available:99; CD4 T Effector Memory:27; Treg:19	marker_final_disagreement
vaccination_study_06	T_NK_lineage	2	3407	CD4 Naive / T Central Memory	CD4 Naive / T Central Memory	NKT Cell	conservative_policy_blocks_raw_marker_winner	0.31431758144995603	0.3583798062811858	0.04406222483122982	0.009060757264455533	0.03500146756677429	3.3174009392427353	2.9465101262107423	CD4 Naive / T Central Memory:3049; CD8 Cytotoxic / T Effector Memory:147; Treg:63; NK Cell:59; MAIT Cell:52	CD4 Naive / T Central Memory:1236; Blood Cell:936; Treg:373; T Cell:267; CD4 T Cell (ab):254	CD4 Naive / T Central Memory:2000; not_available:1024; CD4 T Effector Memory:293; Treg:90	weak_marker_specificity
vaccination_study_06	T_NK_lineage	20	160	NK Cell	NK Cell	NKT Cell	conservative_policy_blocks_raw_marker_winner	0.9519375	1.0	0.0480625	0.0030625000000000006	0.045	3.367475	2.4155375	NK Cell:150; CD8 Cytotoxic / T Effector Memory:10	NK Cell:93; T Cell:27; Blood Cell:26; CD8 Cytotoxic / T Effector Memory:12; CD4 Naive / T Central Memory:1	not_available:159; CD4 T Effector Memory:1	screfmapping_missing_for_scope
vaccination_study_06	T_NK_lineage	3	3230	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	NKT Cell	conservative_policy_blocks_raw_marker_winner	0.6638498452012384	1.0	0.33615015479876165	0.033897832817337464	0.30225232198142415	2.9478452012383904	2.2229535603715176	CD8 Cytotoxic / T Effector Memory:3083; NK Cell:82; CD4 T Effector Memory:46; MAIT Cell:17; CD4 Naive / T Central Memory:1	CD8 Cytotoxic / T Effector Memory:2165; Blood Cell:493; NK Cell:319; gdT Cell:97; CD8 T Cell (ab):81	not_available:3191; CD4 T Effector Memory:35; CD4 Naive / T Central Memory:3; Treg:1	screfmapping_missing_for_scope
vaccination_study_06	T_NK_lineage	5	3181	NK Cell	NK Cell	NKT Cell	conservative_policy_blocks_raw_marker_winner	0.9212841873624646	1.0	0.07871581263753537	0.009704495441685005	0.06901131719585037	3.3644574033322856	2.443173215969821	NK Cell:2990; CD8 Cytotoxic / T Effector Memory:190; MAIT Cell:1	NK Cell:2502; Blood Cell:358; T Cell:265; CD8 Cytotoxic / T Effector Memory:44; CD8 T Cell (ab):10	not_available:3181	screfmapping_missing_for_scope
vaccination_study_06	T_NK_lineage	6	2915	NK Cell	NK Cell	NKT Cell	conservative_policy_blocks_raw_marker_winner	0.8601485777105172	0.9071348555835875	0.046986277873070324	0.0035300171526586625	0.043456260720411664	3.11762641509434	2.099118696397942	NK Cell:2472; CD8 Cytotoxic / T Effector Memory:404; MAIT Cell:24; CD4 Naive / T Central Memory:14; B Cell:1	NK Cell:1087; Blood Cell:937; T Cell:552; CD8 Cytotoxic / T Effector Memory:230; gdT Cell:28	not_available:2861; CD4 T Effector Memory:41; CD4 Naive / T Central Memory:13	screfmapping_missing_for_scope
vaccination_study_06	T_NK_lineage	7	2893	CD4 Naive / T Central Memory	CD4 Naive / T Central Memory	NKT Cell	conservative_policy_blocks_raw_marker_winner	0.319346698928448	0.37677151745592813	0.05742481852748012	0.01050120981679917	0.04692360871068095	3.338486000691324	2.577200138264777	CD4 Naive / T Central Memory:2531; CD8 Cytotoxic / T Effector Memory:118; CD4 T Effector Memory:103; MAIT Cell:65; Treg:61	Blood Cell:624; CD4 T Effector Memory:582; Treg:566; CD4 T Cell (ab):462; CD4 Naive / T Central Memory:435	CD4 Naive / T Central Memory:1867; not_available:526; CD4 T Effector Memory:388; Treg:112	weak_marker_specificity
vaccination_study_06	Myeloid_lineage	0	83	Myeloid Cell	Intermediate Monocyte	Intermediate Monocyte	raw_marker_winner	1.0	1.0	0.0	0.0	0.0	1.0	0.2756024096385543	B Cell:38; Memory B Cell:33; Naive B Cell:11; CD4 Naive / T Central Memory:1	Memory B Cell:79; Blood Cell:4	Naive B Cell:51; Memory B Cell:28; not_available:3; CD4 Naive / T Central Memory:1	marker_final_disagreement
vaccination_study_06	Myeloid_lineage	1	58	Myeloid Cell	Intermediate Monocyte	Intermediate Monocyte	raw_marker_winner	0.6163793103448275	0.6551724137931034	0.03879310344827586	0.03103448275862069	0.007758620689655172	0.6163793103448275	0.04913793103448261	CD4 Naive / T Central Memory:32; CD4 T Effector Memory:16; B Cell:5; Treg:1; T Cell:1	Blood Cell:23; CD4 Naive / T Central Memory:13; CD4 T Cell (ab):8; Treg:5; Memory B Cell:4	CD4 Naive / T Central Memory:47; Treg:3; not_available:3; Memory B Cell:3; Naive B Cell:2	marker_final_disagreement
vaccination_study_06	Myeloid_lineage	11	11	Myeloid Cell	Intermediate Monocyte	Intermediate Monocyte	raw_marker_winner	1.0	1.0	0.0	0.0	0.0	1.0	0.46590909090909083	B Cell:7; Memory B Cell:2; CD4 Naive / T Central Memory:1; Naive B Cell:1	Memory B Cell:10; Blood Cell:1	Naive B Cell:7; Plasma Cell:2; CD4 Naive / T Central Memory:1; Memory B Cell:1	marker_final_disagreement
vaccination_study_06	Myeloid_lineage	2	57	Myeloid Cell	Intermediate Monocyte	Intermediate Monocyte	raw_marker_winner	0.8973684210526316	1.0	0.10263157894736841	0.09473684210526315	0.007894736842105263	0.8973684210526316	0.11315789473684223	Memory B Cell:21; CD4 Naive / T Central Memory:19; B Cell:13; Naive B Cell:2; CD8 Cytotoxic / T Effector Memory:2	Blood Cell:32; Memory B Cell:22; CD4 T Cell (ab):1; Platelet:1; T Cell:1	Naive B Cell:20; not_available:19; CD4 Naive / T Central Memory:7; CD4 T Effector Memory:5; Treg:4	marker_final_disagreement
vaccination_study_06	Myeloid_lineage	3	55	Myeloid Cell	Intermediate Monocyte	Intermediate Monocyte	raw_marker_winner	0.8718181818181818	1.0	0.1281818181818182	0.12000000000000002	0.00818181818181818	0.8718181818181818	0.15863636363636358	Memory B Cell:32; B Cell:14; CD4 Naive / T Central Memory:4; NK Cell:3; CD8 Cytotoxic / T Effector Memory:1	Memory B Cell:31; Blood Cell:20; CD4 T Effector Memory:1; Plasma Cell:1; Treg:1	Naive B Cell:21; not_available:13; Memory B Cell:12; CD4 Naive / T Central Memory:5; Treg:3	marker_final_disagreement
vaccination_study_06	Myeloid_lineage	5	47	Myeloid Cell	Intermediate Monocyte	Intermediate Monocyte	raw_marker_winner	0.9393617021276596	1.0	0.06063829787234043	0.05106382978723405	0.009574468085106383	0.9393617021276596	0.14840425531914891	B Cell:31; Memory B Cell:12; Naive B Cell:4	Memory B Cell:41; Blood Cell:5; B Cell:1	Naive B Cell:28; Memory B Cell:13; not_available:4; Plasma Cell:2	marker_final_disagreement
vaccination_study_06	Myeloid_lineage	6	45	Myeloid Cell	Intermediate Monocyte	Intermediate Monocyte	raw_marker_winner	0.5499999999999999	0.6666666666666666	0.11666666666666667	0.10666666666666667	0.01	0.5499999999999999	0.11592592592592588	CD4 Naive / T Central Memory:37; CD8 Cytotoxic / T Effector Memory:2; Naive B Cell:2; CD4 T Effector Memory:2; Memory B Cell:1	Blood Cell:19; CD4 Naive / T Central Memory:13; Treg:5; CD4 T Effector Memory:5; CD4 T Cell (ab):2	CD4 Naive / T Central Memory:31; not_available:8; Treg:4; CD4 T Effector Memory:1; Naive B Cell:1	marker_final_disagreement
vaccination_study_06	Myeloid_lineage	7	39	Myeloid Cell	Intermediate Monocyte	Intermediate Monocyte	raw_marker_winner	0.9538461538461538	1.0	0.046153846153846156	0.046153846153846156	0.0	0.9538461538461538	0.23141025641025637	Memory B Cell:38; CD8 Cytotoxic / T Effector Memory:1	Blood Cell:27; Memory B Cell:5; T Cell:4; B Cell:1; Treg:1	not_available:24; CD4 Naive / T Central Memory:7; Treg:4; Memory B Cell:2; Naive B Cell:2	marker_final_disagreement
vaccination_study_06	Myeloid_lineage	8	38	Myeloid Cell	Intermediate Monocyte	Intermediate Monocyte	raw_marker_winner	0.9565789473684211	1.0	0.043421052631578944	0.031578947368421054	0.011842105263157893	0.9565789473684211	0.305921052631579	B Cell:37; Memory B Cell:1	Memory B Cell:36; CD8 Cytotoxic / T Effector Memory:1; Blood Cell:1	Naive B Cell:19; Memory B Cell:18; not_available:1	marker_final_disagreement
vaccination_study_06	Myeloid_lineage	9	35	Myeloid Cell	Conventional DC 2	Conventional DC 2	raw_marker_winner	0.5807142857142857	0.6321428571428571	0.05142857142857142	0.0	0.05142857142857142	0.9585714285714286	0.3778571428571429	NK Cell:22; CD8 Cytotoxic / T Effector Memory:10; gdT Cell:1; CD4 Naive / T Central Memory:1; Memory B Cell:1	Blood Cell:27; NK Cell:5; T Cell:1; CD8 Cytotoxic / T Effector Memory:1; Memory B Cell:1	not_available:32; CD4 T Effector Memory:2; Naive B Cell:1	marker_final_disagreement
