study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	marker_decision_score	marker_base_score	negative_marker_penalty	confound_marker_penalty	marker_penalty	marker_discriminative_score	marker_gate_score	key_marker_bonus	marker_any_fraction	marker_mean_positive_fraction	key_marker_any_fraction	key_marker_two_fraction	key_marker_max_fraction	key_marker_enrichment	negative_marker_any_fraction	negative_marker_mean_positive_fraction	confound_marker_any_fraction	confound_marker_mean_positive_fraction	available_negative_markers	available_confound_markers	available_policy_required_markers	policy_required_any_fraction	policy_required_mean_positive_fraction	ref_fraction	raw_fraction	screfmapping_fraction	total_score
vaccination_study_04	T_NK_lineage	2	CD4 Naive / T Central Memory	2	35	0.9020585786725195	0.9020585786725195	0.7316230083715907	0.18761904761904763	0.0	0.18761904761904763	0.5440039607525431	0.5440039607525431	0.0	0.9428571428571428	0.33809523809523806	0.6857142857142857	0.08571428571428572	0.5714285714285714	1.1836348906292196	0.4	0.1619047619047619	0.0	0.0	NKG7;GNLY;GZMB			0.0	0.0	0.05714285714285714	0.0	0.2571428571428571	0.944003960752543
vaccination_study_04	T_NK_lineage	2	CD8 Naive / T Central Memory	3	35	0.966260501021721	0.966260501021721	0.8573908581690683	0.18761904761904763	0.0	0.18761904761904763	0.6697718105500208	0.6697718105500208	0.0	0.9142857142857143	0.37857142857142856	0.6857142857142857	0.08571428571428572	0.5714285714285714	1.6867062898191303	0.4	0.1619047619047619	0.0	0.0	NKG7;GNLY;GZMB	CD4		0.0	0.0	0.0	0.0	0.0	0.6697718105500208
vaccination_study_04	T_NK_lineage	2	MAIT Cell	4	35	0.9843563157496406	0.9843563157496406	0.8571428571428571	0.2914285714285714	0.1442857142857143	0.4357142857142857	0.4214285714285714	0.4214285714285714	0.0	0.8	0.29523809523809524	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.7927758472279784	0.4857142857142857	0.4857142857142857	0.4	0.1619047619047619	LST1	NKG7;GNLY;GZMB		0.0	0.0	0.0	0.0	0.0	0.4214285714285714
vaccination_study_04	T_NK_lineage	2	NKT Cell	5	35	0.8717021115568001	0.8717021115568001	0.6	0.2914285714285714	0.0	0.2914285714285714	0.30857142857142855	0.30857142857142855	0.0	0.7714285714285715	0.24571428571428572	0.6	0.05714285714285714	0.4	0.8233627728711881	0.4857142857142857	0.4857142857142857	0.0	0.0	LST1			0.0	0.0	0.0	0.0	0.0	0.30857142857142855
vaccination_study_04	T_NK_lineage	2	CD4 T Effector Memory	6	35	0.24166351320669038	0.24166351320669038	0.02857142857142857	0.3454285714285714	0.1442857142857143	0.4897142857142857	0.0	0.0	0.0	0.8571428571428571	0.21428571428571427	0.02857142857142857	0.0	0.02857142857142857	0.05916087321124246	0.6857142857142857	0.3857142857142857	0.4	0.1619047619047619	CCR7;TCF7	NKG7;GNLY;GZMB		0.0	0.0	0.0	0.0	0.11428571428571428	0.13714285714285712
vaccination_study_04	T_NK_lineage	2	CD8 Cytotoxic / T Effector Memory	7	35	0.8853856050859003	0.8853856050859003	0.4	0.3454285714285714	0.03214285714285714	0.37757142857142856	0.022428571428571464	0.022428571428571464	0.0	0.6285714285714286	0.1469387755102041	0.4	0.05714285714285714	0.4	0.6081303790514558	0.6857142857142857	0.3857142857142857	0.08571428571428572	0.04285714285714286	CCR7;TCF7	KLRD1;FCGR3A		0.0	0.0	0.02857142857142857	0.0	0.0	0.06814285714285717
vaccination_study_04	T_NK_lineage	2	gdT Cell	8	35	0.49680617573601754	0.49680617573601754	0.45714285714285713	0.2914285714285714	0.15428571428571428	0.44571428571428573	0.011428571428571399	0.011428571428571399	0.0	0.45714285714285713	0.45714285714285713	0.45714285714285713	0.0	0.45714285714285713	0.8880209206423709	0.4857142857142857	0.4857142857142857	0.4	0.2285714285714286	LST1	NKG7;GNLY		0.0	0.0	0.0	0.0	0.0	0.011428571428571399
vaccination_study_04	T_NK_lineage	2	Treg	9	35	0.3597441913267237	0.3597441913267237	0.0	0.18761904761904763	0.26357142857142857	0.4511904761904762	0.0	0.0	0.0	0.5142857142857142	0.12857142857142856	0.0	0.0	0.0	0.5031055900621119	0.4	0.1619047619047619	0.6857142857142857	0.3857142857142857	NKG7;GNLY;GZMB	CCR7;TCF7		0.0	0.0	0.0	0.0	0.0	0.0
vaccination_study_04	T_NK_lineage	3	NK Cell	1	33	0.997199727541058	1.0	1.0	0.19636363636363635	0.0	0.19636363636363635	0.8036363636363637	0.8036363636363637	0.0	1.0	0.683982683982684	1.0	0.9696969696969697	1.0	1.487184148336666	0.3939393939393939	0.2121212121212121	0.0	0.0	CD3E;LST1			0.0	0.0	1.0	1.0	0.0	3.403636363636364
vaccination_study_04	T_NK_lineage	3	NKT Cell	2	33	0.9977143722091879	1.0	1.0	0.09090909090909091	0.0	0.09090909090909091	0.9090909090909091	0.9090909090909091	0.0	1.0	0.7575757575757576	1.0	0.8484848484848485	1.0	1.3632727878686886	0.15151515151515152	0.15151515151515152	0.0	0.0	LST1			0.0	0.0	0.0	0.0	0.0	0.9090909090909091
