study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	ref_fraction	raw_fraction	screfmapping_fraction	total_score
infection_study_01	Myeloid_lineage	17	Conventional DC 2	4	379	0.46169252057388394	0.052770448548812667	0.047493403693931395	0.0	0.5936186419459156
infection_study_01	Myeloid_lineage	17	Conventional DC 1	5	379	0.4703590415847353	0.0316622691292876	0.0316622691292876	0.0	0.5526809413208831
infection_study_01	Myeloid_lineage	17	Plasmacytoid DC	6	379	0.3185037506372442	0.013192612137203167	0.005277044854881266	0.0	0.3448889749116505
infection_study_01	Myeloid_lineage	18	Classical Monocyte	1	348	0.7822718665792732	0.9971264367816092	1.0	0.0	3.3776741654298474
infection_study_01	Myeloid_lineage	18	Intermediate Monocyte	2	348	0.7044825577161169	0.09770114942528736	0.0028735632183908046	0.0	0.8636779600149675
infection_study_01	Myeloid_lineage	18	Non-Classical Monocyte	3	348	0.7535139465443158	0.020114942528735632	0.017241379310344827	0.0	0.8029392339006376
infection_study_01	Myeloid_lineage	18	Conventional DC 2	4	348	0.46169252057388394	0.008620689655172414	0.008620689655172414	0.0	0.4841063136773322
infection_study_01	Myeloid_lineage	18	Conventional DC 1	5	348	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	18	Plasmacytoid DC	6	348	0.3185037506372442	0.0	0.0	0.0	0.3185037506372442
infection_study_01	Myeloid_lineage	19	Classical Monocyte	1	340	0.7698547083242299	0.8852941176470588	0.9941176470588236	0.0	3.1804429436183477
infection_study_01	Myeloid_lineage	19	Intermediate Monocyte	2	340	0.8208706576360061	0.29705882352941176	0.24411764705882352	0.0	1.5402824223418885
infection_study_01	Myeloid_lineage	19	Non-Classical Monocyte	3	340	0.7827907654213094	0.15588235294117647	0.1323529411764706	0.0	1.1645554713036623
infection_study_01	Myeloid_lineage	19	Plasmacytoid DC	4	340	0.4781834899133348	0.008823529411764706	0.008823529411764706	0.0	0.5011246663839231
infection_study_01	Myeloid_lineage	19	Conventional DC 1	5	340	0.4703590415847353	0.0058823529411764705	0.0058823529411764705	0.0	0.48565315923179414
infection_study_01	Myeloid_lineage	19	Conventional DC 2	6	340	0.46169252057388394	0.008823529411764706	0.0058823529411764705	0.0	0.48169252057388395
infection_study_01	Myeloid_lineage	2	Non-Classical Monocyte	1	1344	0.9775781079309591	0.9933035714285714	0.9784226190476191	0.0	3.5452864412642926
infection_study_01	Myeloid_lineage	2	Classical Monocyte	2	1344	0.629114776782463	0.047619047619047616	1.0	0.0	1.7053052529729391
infection_study_01	Myeloid_lineage	2	Intermediate Monocyte	3	1344	0.9699857985580074	0.21726190476190477	0.2105654761904762	0.0	1.5281703223675311
infection_study_01	Myeloid_lineage	2	Conventional DC 1	4	1344	0.9554020100502513	0.000744047619047619	0.0	0.0	0.9565924862407275
infection_study_01	Myeloid_lineage	2	Plasmacytoid DC	5	1344	0.6768034010632875	0.000744047619047619	0.0	0.0	0.6779938772537637
infection_study_01	Myeloid_lineage	2	Conventional DC 2	6	1344	0.46169252057388394	0.001488095238095238	0.001488095238095238	0.0	0.46556156819293154
infection_study_01	Myeloid_lineage	20	Non-Classical Monocyte	1	283	0.995229772048649	0.9929328621908127	0.950530035335689	0.0	3.5344523868896385
infection_study_01	Myeloid_lineage	20	Classical Monocyte	2	283	0.6484961037069406	0.07773851590106007	1.0	0.0	1.7728777291486366
infection_study_01	Myeloid_lineage	20	Intermediate Monocyte	3	283	0.9787160439880562	0.20141342756183744	0.19081272084805653	0.0	1.4917902489350527
infection_study_01	Myeloid_lineage	20	Conventional DC 1	4	283	0.9518334425751949	0.0	0.0	0.0	0.9518334425751949
infection_study_01	Myeloid_lineage	20	Plasmacytoid DC	5	283	0.686785376156143	0.0	0.0	0.0	0.686785376156143
infection_study_01	Myeloid_lineage	20	Conventional DC 2	6	283	0.46169252057388394	0.0176678445229682	0.0176678445229682	0.0	0.5076289163336013
infection_study_01	Myeloid_lineage	21	Non-Classical Monocyte	1	274	0.9765312067584297	0.9306569343065694	0.8759124087591241	0.0	3.341494710408065
infection_study_01	Myeloid_lineage	21	Intermediate Monocyte	2	274	0.9756754788434928	0.4781021897810219	0.46715328467153283	0.0	2.2077922671646606
infection_study_01	Myeloid_lineage	21	Classical Monocyte	3	274	0.644399533901391	0.21897810218978103	0.9744525547445255	0.0	1.9692170521495662
infection_study_01	Myeloid_lineage	21	Conventional DC 1	4	274	0.9429302308644673	0.0	0.0	0.0	0.9429302308644673
infection_study_01	Myeloid_lineage	21	Plasmacytoid DC	5	274	0.7079965042604326	0.0036496350364963502	0.0036496350364963502	0.0	0.7174855553553231
infection_study_01	Myeloid_lineage	21	Conventional DC 2	6	274	0.46169252057388394	0.0072992700729927005	0.0072992700729927005	0.0	0.48067062276366496
infection_study_01	Myeloid_lineage	22	Classical Monocyte	1	252	0.7467045371786468	0.876984126984127	0.9484126984126984	0.0	3.0982918387659484
infection_study_01	Myeloid_lineage	22	Intermediate Monocyte	2	252	0.7971833806714733	0.26587301587301587	0.1746031746031746	0.0	1.3971833806714735
infection_study_01	Myeloid_lineage	22	Non-Classical Monocyte	3	252	0.8069423202971379	0.15079365079365079	0.14285714285714285	0.0	1.191069304424122
infection_study_01	Myeloid_lineage	22	Plasmacytoid DC	4	252	0.6415592455028767	0.007936507936507936	0.003968253968253968	0.0	0.6582259121695434
infection_study_01	Myeloid_lineage	22	Conventional DC 2	5	252	0.46169252057388394	0.05952380952380952	0.05555555555555555	0.0	0.6124861713675347
infection_study_01	Myeloid_lineage	22	Conventional DC 1	6	252	0.4703590415847353	0.003968253968253968	0.003968253968253968	0.0	0.48067650190219563
infection_study_01	Myeloid_lineage	23	Classical Monocyte	1	250	0.8737892360352487	1.0	1.0	0.0	3.4737892360352487
infection_study_01	Myeloid_lineage	23	Intermediate Monocyte	2	250	0.6453417449566674	0.032	0.0	0.0	0.6965417449566674
infection_study_01	Myeloid_lineage	23	Non-Classical Monocyte	3	250	0.5386033428009613	0.004	0.004	0.0	0.5490033428009613
infection_study_01	Myeloid_lineage	23	Conventional DC 1	4	250	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	23	Conventional DC 2	5	250	0.46169252057388394	0.0	0.0	0.0	0.46169252057388394
infection_study_01	Myeloid_lineage	23	Plasmacytoid DC	6	250	0.3185037506372442	0.004	0.0	0.0	0.3249037506372442
infection_study_01	Myeloid_lineage	24	Classical Monocyte	1	199	0.8690372150608113	1.0	1.0	0.0	3.4690372150608115
infection_study_01	Myeloid_lineage	24	Intermediate Monocyte	2	199	0.7778202607239094	0.07035175879396985	0.0	0.0	0.8903830747942612
infection_study_01	Myeloid_lineage	24	Non-Classical Monocyte	3	199	0.8167285703881727	0.01507537688442211	0.0	0.0	0.840849173403248
infection_study_01	Myeloid_lineage	24	Plasmacytoid DC	4	199	0.6563068968028548	0.0	0.0	0.0	0.6563068968028548
infection_study_01	Myeloid_lineage	24	Conventional DC 2	5	199	0.46169252057388394	0.010050251256281407	0.0	0.0	0.47777292258393417
infection_study_01	Myeloid_lineage	24	Conventional DC 1	6	199	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	25	Non-Classical Monocyte	1	135	0.9474546646274853	0.7333333333333333	0.7185185185185186	0.0	2.839306516479337
infection_study_01	Myeloid_lineage	25	Intermediate Monocyte	2	135	0.9598900298594422	0.725925925925926	0.5481481481481482	0.0	2.669519659489072
infection_study_01	Myeloid_lineage	25	Classical Monocyte	3	135	0.670690408564562	0.5333333333333333	0.9851851851851852	0.0	2.5092089270830806
infection_study_01	Myeloid_lineage	25	Plasmacytoid DC	4	135	0.6606674677736508	0.0	0.0	0.0	0.6606674677736508
infection_study_01	Myeloid_lineage	25	Conventional DC 2	5	135	0.46169252057388394	0.05185185185185185	0.05185185185185185	0.0	0.5965073353886987
infection_study_01	Myeloid_lineage	25	Conventional DC 1	6	135	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	26	Non-Classical Monocyte	1	118	0.9721251183453499	0.940677966101695	0.940677966101695	0.0	3.4178878302097573
infection_study_01	Myeloid_lineage	26	Intermediate Monocyte	2	118	0.9715515985725731	0.9322033898305084	0.9152542372881356	0.0	3.378331259589522
infection_study_01	Myeloid_lineage	26	Classical Monocyte	3	118	0.6748871167431361	0.9491525423728814	1.0	0.0	3.1935311845397463
infection_study_01	Myeloid_lineage	26	Conventional DC 1	4	118	0.9561940135459908	0.0	0.0	0.0	0.9561940135459908
infection_study_01	Myeloid_lineage	26	Plasmacytoid DC	5	118	0.731574539363484	0.0	0.0	0.0	0.731574539363484
infection_study_01	Myeloid_lineage	26	Conventional DC 2	6	118	0.46169252057388394	0.0	0.0	0.0	0.46169252057388394
infection_study_01	Myeloid_lineage	27	Plasmacytoid DC	1	107	0.9990168232466681	0.9345794392523364	0.8878504672897196	0.0	3.382194393340126
infection_study_01	Myeloid_lineage	27	Conventional DC 2	2	107	0.9388427645473746	0.8785046728971962	0.056074766355140186	0.0	2.400525007538029
infection_study_01	Myeloid_lineage	27	Intermediate Monocyte	3	107	0.6030332823537979	0.04672897196261682	0.0	0.0	0.6777996374939849
infection_study_01	Myeloid_lineage	27	Classical Monocyte	4	107	0.32674240769062707	0.16822429906542055	0.04672897196261682	0.0	0.6426302581579169
infection_study_01	Myeloid_lineage	27	Conventional DC 1	5	107	0.4703590415847353	0.018691588785046728	0.009345794392523364	0.0	0.5096113780333335
infection_study_01	Myeloid_lineage	27	Non-Classical Monocyte	6	107	0.3473709125336829	0.009345794392523364	0.0	0.0	0.3623241835617203
infection_study_01	Myeloid_lineage	28	Classical Monocyte	1	72	0.6891158692010779	1.0	0.9861111111111112	0.0	3.275226980312189
infection_study_01	Myeloid_lineage	28	Non-Classical Monocyte	2	72	0.7368272522030442	0.0	0.0	0.0	0.7368272522030442
infection_study_01	Myeloid_lineage	28	Intermediate Monocyte	3	72	0.48806077488893745	0.0	0.0	0.0	0.48806077488893745
infection_study_01	Myeloid_lineage	28	Conventional DC 1	4	72	0.4703590415847353	0.0	0.0	0.0	0.4703590415847353
infection_study_01	Myeloid_lineage	28	Conventional DC 2	5	72	0.46169252057388394	0.0	0.0	0.0	0.46169252057388394
infection_study_01	Myeloid_lineage	28	Plasmacytoid DC	6	72	0.3185037506372442	0.0	0.0	0.0	0.3185037506372442
