study	source	source_column	n_cells	informative_cells	coverage_fraction	final_concordant_cells	final_concordance_over_informative	final_concordance_over_all	discordant_informative_cells	discordant_fraction_over_informative	high_confidence_informative_cells	high_confidence_concordance_over_informative	top_labels	unique_support_cells	unique_support_fraction_over_all
infection_study_04	CellTypist	celltypist_v3_label	43767	43767	1.0	34085	0.7787831014234469	0.7787831014234469	9682	0.2212168985765531	22709	0.8113082918666608	Classical Monocyte:10920; CD8 Cytotoxic / T Effector Memory:8752; NK Cell:6602; CD4 Naive / T Central Memory:6580; Plasma Cell:2215; Naive B Cell:1931; Non-Classical Monocyte:1789; Memory B Cell:823	58	0.0013251993511092
infection_study_04	Pan-human Azimuth	panhuman_fine_v3_label	43767	43767	1.0	28705	0.6558594374757237	0.6558594374757237	15062	0.3441405625242763	22709	0.7039499757805275	Classical Monocyte:8481; NK Cell:5824; Blood Cell:5585; CD8 Cytotoxic / T Effector Memory:4726; CD4 Naive / T Central Memory:4518; Plasma Cell:3076; Naive B Cell:1641; CD4 T Effector Memory:1558	311	0.0071058103137066
infection_study_04	Cluster consensus	cluster_consensus_v3_label	43767	43767	1.0	29363	0.6708935956314118	0.6708935956314118	14404	0.3291064043685882	22709	0.6684134043771192	Classical Monocyte:8943; NK Cell:6966; CD8 Cytotoxic / T Effector Memory:6623; CD4 Naive / T Central Memory:4954; B Cell:3684; Plasma Cell:3385; T Cell:3237; Monocyte:2202	1	2.2848264674297987e-05
infection_study_04	scRefMapping	screfmapping_official_label	43767	14878	0.3399364818242054	10836	0.7283236994219653	0.247583796010693	4042	0.2716763005780346	11624	0.8409325533379215	CD4 Naive / T Central Memory:6758; Naive B Cell:2871; Plasma Cell:1891; Memory B Cell:1587; CD4 T Effector Memory:1306; Treg:465	38	0.0008682340576233
infection_study_04	Cluster marker assignment	cluster_marker_gene_assignment	43767	43098	0.9847145109328946	41771	0.9692097081071048	0.9543948637101012	1327	0.0307902918928952	22709	0.960588313003655	Classical Monocyte:11457; CD4 Naive / T Central Memory:8829; CD8 Cytotoxic / T Effector Memory:7788; NK Cell:6432; Plasma Cell:3147; Naive B Cell:3115; Non-Classical Monocyte:1213; Memory B Cell:355	4183	0.0955742911325884
infection_study_06	CellTypist	celltypist_v3_label	827389	0	0.0	0	0.0	0.0	0	0.0	0	0.0	not_available	0	0.0
infection_study_06	Pan-human Azimuth	panhuman_fine_v3_label	827389	0	0.0	0	0.0	0.0	0	0.0	0	0.0	not_available	0	0.0
infection_study_06	Cluster consensus	cluster_consensus_v3_label	827389	0	0.0	0	0.0	0.0	0	0.0	0	0.0	not_available	0	0.0
infection_study_06	scRefMapping	screfmapping_official_label	827389	0	0.0	0	0.0	0.0	0	0.0	0	0.0	not_available	0	0.0
infection_study_06	Cluster marker assignment	cluster_marker_gene_assignment	827389	0	0.0	0	0.0	0.0	0	0.0	0	0.0	not_available	0	0.0
infection_study_07	CellTypist	celltypist_v3_label	6589	0	0.0	0	0.0	0.0	0	0.0	0	0.0	not_available	0	0.0
infection_study_07	Pan-human Azimuth	panhuman_fine_v3_label	6589	0	0.0	0	0.0	0.0	0	0.0	0	0.0	not_available	0	0.0
infection_study_07	Cluster consensus	cluster_consensus_v3_label	6589	0	0.0	0	0.0	0.0	0	0.0	0	0.0	not_available	0	0.0
infection_study_07	scRefMapping	screfmapping_official_label	6589	0	0.0	0	0.0	0.0	0	0.0	0	0.0	not_available	0	0.0
infection_study_07	Cluster marker assignment	cluster_marker_gene_assignment	6589	3982	0.6043405676126878	0	0.0	0.0	3982	1.0	0	0.0	CD8 Naive / T Central Memory:695; NKT Cell:647; Non-Classical Monocyte:636; Plasma Cell:364; Conventional DC 2:323; Memory B Cell:315; Intermediate Monocyte:281; CD8 Cytotoxic / T Effector Memory:200	0	0.0
vaccination_study_01	CellTypist	celltypist_v3_label	307194	0	0.0	0	0.0	0.0	0	0.0	0	0.0	not_available	0	0.0
vaccination_study_01	Pan-human Azimuth	panhuman_fine_v3_label	307194	0	0.0	0	0.0	0.0	0	0.0	0	0.0	not_available	0	0.0
vaccination_study_01	Cluster consensus	cluster_consensus_v3_label	307194	0	0.0	0	0.0	0.0	0	0.0	0	0.0	not_available	0	0.0
vaccination_study_01	scRefMapping	screfmapping_official_label	307194	0	0.0	0	0.0	0.0	0	0.0	0	0.0	not_available	0	0.0
vaccination_study_01	Cluster marker assignment	cluster_marker_gene_assignment	307194	223434	0.7273384245786051	0	0.0	0.0	223434	1.0	0	0.0	Neutrophil:65678; NKT Cell:60823; CD4 Naive / T Central Memory:35904; Intermediate Monocyte:20580; Naive B Cell:15584; Memory B Cell:8927; Plasmablast:8098; Plasma Cell:7840	0	0.0
vaccination_study_04	CellTypist	celltypist_v3_label	66065	66065	1.0	60600	0.9172784379020662	0.9172784379020662	5465	0.0827215620979338	57208	0.9623828835127954	Classical Monocyte:36962; Non-Classical Monocyte:16021; Conventional DC 2:5549; Plasmacytoid DC:5231; NK Cell:1181; Conventional DC 1:1024; Plasma Cell:97	0	0.0
vaccination_study_04	Pan-human Azimuth	panhuman_fine_v3_label	66065	66065	1.0	58730	0.8889729811549232	0.8889729811549232	7335	0.1110270188450768	57208	0.924975527898196	Classical Monocyte:30830; Non-Classical Monocyte:16318; Conventional DC 2:7543; Plasmacytoid DC:5611; Blood Cell:2680; Conventional DC 1:991; Intermediate Monocyte:940; HSC:746	54	0.0008173768258533
vaccination_study_04	Cluster consensus	cluster_consensus_v3_label	66065	66065	1.0	62917	0.9523499583743285	0.9523499583743285	3148	0.0476500416256716	57208	0.987536708152706	Classical Monocyte:34498; Non-Classical Monocyte:15691; Conventional DC 2:7736; Plasmacytoid DC:5569; Conventional DC 1:1104; HSC:934; NK Cell:276; DC:160	249	0.003769015363657
vaccination_study_04	scRefMapping	screfmapping_official_label	66065	285	0.0043139332475592	10	0.0350877192982456	0.0001513660788617	275	0.9649122807017544	18	0.4444444444444444	CD4 Naive / T Central Memory:164; Naive B Cell:52; Memory B Cell:36; CD4 T Effector Memory:22; Plasma Cell:7; Treg:4	0	0.0
